Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000163638,ADAMTS9,13.40,0.64,-4.39,9.37,0.47,-4.32
ENSG00000163644,PPM1K,0.02,0.44,4.45,0.05,0.52,3.48
ENSG00000163645,ERICH6,0.06,0.01,-2.32,0.04,0.02,-1.42
ENSG00000163646,CLRN1,0.01,0.00,-0.32,0.00,0.01,0.58
ENSG00000163655,GMPS,1.47,17.27,3.55,6.09,17.75,1.54
ENSG00000163659,TIPARP,81.54,5.77,-3.82,61.44,1.90,-5.01
ENSG00000163660,CCNL1,2.32,14.34,2.63,8.83,12.47,0.50
ENSG00000163661,PTX3,0.00,0.03,Inf,0.00,0.03,Inf
ENSG00000163666,HESX1,1.07,7.69,2.84,0.92,9.45,3.36
ENSG00000163673,DCLK3,0.01,0.04,2.85,0.01,0.04,2.00
ENSG00000163681,SLMAP,0.39,3.94,3.34,1.77,3.80,1.10
ENSG00000163682,RPL9,15.27,34.43,1.17,20.82,35.06,0.75
ENSG00000163683,SMIM14,5.54,0.94,-2.56,3.93,1.00,-1.98
ENSG00000163684,RPP14,2.15,3.43,0.67,2.91,3.18,0.13
ENSG00000163686,ABHD6,0.11,5.16,5.62,0.19,6.36,5.04
ENSG00000163687,DNASE1L3,0.01,0.33,6.04,0.01,0.41,5.94
ENSG00000163689,C3orf67,1.23,0.59,-1.05,1.03,0.59,-0.82
ENSG00000163694,RBM47,0.06,20.83,8.57,0.83,25.45,4.94
ENSG00000163697,APBB2,5.26,3.47,-0.60,4.79,3.38,-0.50
ENSG00000163701,IL17RE,0.05,0.08,0.68,0.03,0.10,1.58
ENSG00000163702,IL17RC,0.16,0.44,1.50,0.18,0.49,1.44
ENSG00000163703,CRELD1,1.98,9.57,2.27,2.12,11.36,2.42
ENSG00000163704,PRRT3,0.39,0.71,0.86,0.46,0.74,0.68
ENSG00000163705,FANCD2OS,0.03,0.17,2.80,0.07,0.18,1.34
ENSG00000163710,PCOLCE2,9.89,1.82,-2.44,6.92,2.04,-1.77
ENSG00000163714,U2SURP,6.78,20.33,1.59,15.81,16.95,0.10
ENSG00000163719,MTMR14,6.01,48.06,3.00,19.89,48.15,1.28
ENSG00000163728,TTC14,2.89,4.44,0.62,3.94,4.04,0.04
ENSG00000163734,CXCL3,0.00,0.04,Inf,0.00,0.05,Inf
ENSG00000163735,CXCL5,0.02,0.01,-0.91,0.01,0.01,0.00
ENSG00000163736,PPBP,0.00,0.00,NA,0.00,0.00,NA
